,DivSampCA,,,SamplingCA,,,Campactor,,,LS-Sampling-Plus,
Instances,min,avg,time(s),min,avg,time(s),min,avg,time(s),coverage,time(s)
aaed2000,99,101.9,19.41,137,141.6,24.73,63,66.1,421.25,99.995,29.21
adder,80,82.8,14.64,106,109.5,19.11,46,49.1,253.25,99.997,22.6
adderII,79,82.4,14.91,105,108.7,19.45,47,48.5,262.27,99.9965,21.94
aeb,76,77.8,13.09,103,105.9,17.66,44,46.3,201.12,99.9964,19.91
aim711,79,81.3,14.15,109,109.9,20.05,47,48.5,242.55,99.9962,24.05
aki3068net,78,81.4,13.12,104,108.4,17.9,47,48.2,196.94,99.9975,21.1
am31_sim,71,74,11.29,95,99.9,15.32,42,44.6,173.37,99.9961,18.13
asb,73,76.7,12.87,98,101.9,17.79,43,45,183.79,99.9967,20.68
asb2305,75,76.8,13.15,98,103.5,18.33,43,45.4,203.21,99.9966,20.55
assabet,76,78.2,13.67,102,103.5,18.96,45,46.7,225.17,99.9962,22.04
at91sam7sek,76,78.5,14.36,100,103.9,19.5,44,45.2,249.62,99.9953,22.81
at91sam7xek,81,83.4,15.42,106,110.3,21.24,46,48.2,299.82,99.9957,24.34
atlas_mips32_4kc,78,81.2,13.34,104,106.8,17.81,47,49.3,215.27,99.9952,21.65
atlas_mips64_5kc,78,80.9,13.02,105,109.1,17.78,48,49.1,185.23,99.9962,21.04
axtls,30,32.7,0.13,33,34.4,0.08,27,27.1,0.69,99.9445,0.1
brutus,74,76.8,12.49,96,100.6,16.66,44,45.1,177.04,99.9966,19.93
buildroot,25,26.1,1.08,27,30.2,1.23,16,16,1.66,99.9994,1.65
busybox_1_28_0,46,47.5,5.01,56,57.7,6.59,24,24.7,45.9,99.9986,8.89
calm16_ceb,73,75.4,11.53,99,101.6,15.69,44,45.3,188.37,99.9934,18.39
calm32_ceb,73,76.1,11.6,96,100.6,15.66,43,45,208.57,99.9967,18.28
ceb_v850,73,75.5,11.69,98,101.5,16.28,43,45.3,184.38,99.9941,18.46
cerf,80,83.1,14.61,109,111.6,20.33,47,49.3,269.88,99.9955,23.9
cerfpda,80,82.4,15.04,107,112.1,20.6,47,48.9,271.32,99.996,24.71
cma230,72,75.9,12.16,97,101.2,16.34,43,45.8,200.55,99.9975,20.14
cma28x,73,75.5,12.19,98,100.7,15.99,44,45.5,177.79,99.9963,18.94
cme555,75,77.8,13.47,100,103.2,18.45,44,45.3,223.63,99.9966,21.78
cq7708,88,90.3,15.21,116,121.6,20.76,54,56.5,274.07,99.9947,24.49
cq7750,78,80.4,14.14,102,105.2,19.14,45,46.8,204.49,99.9957,22.12
csb281,82,85.3,14.22,107,112.6,19.57,50,51.7,240.53,99.9963,22.17
dreamcast,83,85.9,14.87,109,115.2,20.53,51,52.9,221.59,99.996,23.07
e7t,77,82,14.34,103,109.7,20.02,48,49.6,229.56,99.9949,22.66
ea2468,80,83.7,17.09,105,109.8,23.8,48,49.2,325.62,99.9965,27.31
eb40,75,77.1,13.29,101,102.4,18.3,43,45.2,212.54,99.9948,20.17
eb40a,75,78,13.44,100,103.7,18.51,45,46,224.39,99.9947,20.57
eb42,74,76.5,13.14,97,101.1,18.02,42,44.5,202.41,99.9966,20.26
eb55,76,78.4,14.25,102,104.2,18.63,46,46.8,203.86,99.9966,23.12
ebsa285,83,86.2,15,110,113.2,19.72,50,53.1,283.63,99.995,23.19
ec555,75,76.7,13.67,98,103.2,19.51,44,45.8,213.6,99.9967,21.32
ecos-icse11,80,81.7,13.74,101,107.1,18.74,47,48.3,189.97,99.9977,22.09
edb7xxx,80,81.6,13.93,104,107.8,18.34,48,49,240.88,99.9978,22.33
edosk2674,79,80.5,12.69,106,108.1,16.93,47,49.6,187.46,99.9964,19.65
embtoolkit,1089,1096.9,1508.71,1118,1125,512.81,1101,1104.2,11267.06,98.7981,69.15
excalibur_arm9,91,93.6,15.8,122,125.1,21.02,56,57,307.53,99.9955,24.53
fads,74,75.8,11.96,98,100.2,15.6,42,44.5,184.74,99.9951,17.66
flexanet,81,84.1,15.02,110,113,19.8,48,49.5,285.54,99.996,23.26
freebsd-icse11,90,93.4,17.73,117,121.7,25.3,51,53,382.61,99.9977,31.22
frv400,79,81.6,13.79,103,108.2,18.45,47,48.2,219.16,99.9941,21.6
gps4020,74,77.3,12.48,101,102.6,17.03,43,45.6,214.91,99.9938,19.37
grg,79,81.2,13.8,105,107.9,18.94,45,46.5,278.74,99.9954,20.89
h8300h_sim,71,75.7,11.6,96,99.2,15.77,43,43.5,185.52,99.9967,18.44
h8max,78,80.8,12.84,105,107.1,17.99,45,47.6,202.94,99.996,19.97
h8s_sim,71,75.3,11.63,95,98.9,16.09,43,43.8,184.73,99.9962,18.2
hs7729pci,99,101.9,19.64,136,139.3,27.15,61,63,408.19,99.9968,31.61
innovator,98,101.2,18.22,136,139.6,24.73,64,66.7,350.74,99.994,27.78
integrator_arm7,80,82.1,14.22,103,109.7,19.54,46,47.8,208.93,99.9962,22.7
integrator_arm9,91,93.2,16.5,118,122.2,22.26,56,59.6,354.3,99.9955,25.26
ipaq,76,76.9,13.34,99,102.8,18.47,43,44.1,237.23,99.9958,21.66
iq80310,79,81.2,14.09,104,105.9,19.15,47,47.8,264.79,99.9964,22.66
iq80321,77,80.6,14.07,103,106.8,19.55,50,50.9,175.66,99.9965,22.47
ixdp425,78,81.3,13.84,103,107.5,18.5,46,48.3,238.86,99.9975,22.46
jmr3904,74,76,12.07,98,102.2,15.99,43,44.8,184.72,99.9943,18.7
jtst,75,77.7,13.43,98,101.4,17.35,44,45,221.48,99.9962,20.21
linux,85,87.7,15.09,112,115,19.05,44,45.4,213.83,99.9972,23.43
lpcmt,74,77.2,13.42,100,103.7,18.63,48,50.9,318.13,99.9977,21.81
m5272c3,82,84.6,16.38,107,111.5,21.9,42,44.9,217.16,99.9964,25.75
mac7100evb,76,77.7,13.11,97,100.9,17.52,42,44.8,199.39,99.9961,19.81
mace1,75,76.6,13.08,98,101.8,17.41,42,44.5,190.63,99.9972,20.84
malta_mips32_4kc,81,82.6,14.34,107,110.9,18.9,47,49.2,192.95,99.9948,21.51
